msa,Population,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income,msa_id,latitude,longitude,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3289701,6.3,14.9,26.1,96974,46264,41740,32.9637838,-116.7706277,1228505,1158764,69741,5.676899971917086
"Sandpoint, ID Micro Area",47976,3.5,10.3,23.9,61816,32943,41760,48.2663565,-116.5952716,26312,19619,6693,25.437062937062937
"Sanford, NC Micro Area",63560,5.2,4.7,25.8,60941,36419,41820,35.4691746,-79.1547643,26583,24575,2008,7.553699732912012
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1981584,4.5,19.1,27.9,151713,69357,41940,36.6231225,-121.1157794,708400,675547,32853,4.637634105025409
"San Luis Obispo-Paso Robles, CA Metro Area",281712,5.0,13.0,21.6,90158,37744,42020,35.3540209,-120.375716,123715,107797,15918,12.866669361031402
"Santa Cruz-Watsonville, CA Metro Area",268571,5.9,16.3,26.7,104409,43224,42100,37.050096,-121.99059,106345,96261,10084,9.482345197235412
"Santa Fe, NM Metro Area",154481,5.4,15.0,23.6,70522,36978,42140,35.4859674,-106.01355,76877,68020,8857,11.521001079646709
"Santa Maria-Santa Barbara, CA Metro Area",445213,6.0,11.2,20.9,92332,36219,42200,34.7136533,-119.985823,158279,148353,9926,6.271204644962376
"Santa Rosa-Petaluma, CA Metro Area",488436,5.2,13.0,25.4,99266,46987,42220,38.5110803,-122.8473388,204742,187701,17041,8.323157925584395
"Sault Ste. Marie, MI Micro Area",36670,7.7,6.5,17.9,58408,29063,42300,46.3111149,-84.6428564,20268,13837,6431,31.7298204065522
"Savannah, GA Metro Area",406575,6.1,7.6,24.8,70705,37351,42340,32.0034889,-81.4241017,175166,156817,18349,10.475206375666511
"Sayre, PA Micro Area",60159,4.8,6.6,23.7,60650,39368,42380,41.7746685,-76.5264613,29363,24789,4574,15.577427374587066
"Scottsbluff, NE Micro Area",37880,3.5,6.0,14.0,59842,37264,42420,41.5584661,-103.7433155,17526,15471,2055,11.72543649435125
"Scottsboro, AL Micro Area",52618,6.0,3.9,27.3,46748,33822,42460,34.7692447,-85.9867941,24627,21733,2894,11.751329841231168
"Scranton--Wilkes-Barre, PA Metro Area",567287,5.4,8.2,23.0,62318,37744,42540,41.4406084,-75.6260271,263327,233994,29333,11.139381833233964
"Searcy, AR Micro Area",77118,5.2,3.7,23.5,51144,31667,42620,35.2463042,-91.7169687,33270,29705,3565,10.71535918244665
"Seattle-Tacoma-Bellevue, WA Metro Area",4001701,4.6,18.7,30.2,107206,57183,42660,47.4873376,-121.8622122,1650246,1564432,85814,5.200073201207578
"Sedalia, MO Micro Area",43059,3.9,6.3,19.0,57581,34158,42740,38.7346291,-93.2991713,18563,16588,1975,10.63944405537898
"Selinsgrove, PA Micro Area",39797,2.2,7.0,23.5,65914,35737,42780,40.7615395,-77.0909536,15978,14753,1225,7.66679183877832
"Selma, AL Micro Area",38326,9.1,4.1,26.0,37180,28574,42820,32.3117968,-87.1046643,18880,16037,2843,15.058262711864408
"Seneca, SC Micro Area",78775,5.8,6.7,25.4,56710,35309,42860,34.7622221,-83.1099645,40788,33241,7547,18.50299107580661
"Seneca Falls, NY Micro Area",33651,4.5,7.3,21.2,64050,38377,42900,42.7831619,-76.8386051,16096,13414,2682,16.662524850894634
"Sevierville, TN Micro Area",98455,3.5,7.1,26.6,60103,32525,42940,35.8047065,-83.5291901,56240,39520,16720,29.72972972972973
"Seymour, IN Micro Area",46212,2.7,3.4,22.5,65609,41534,42980,38.9023184,-86.0650856,19069,17809,1260,6.607582988095863
"Shawano, WI Micro Area",45127,3.4,9.1,23.4,65222,36166,43020,45.0154357,-88.7089153,22499,18500,3999,17.77412329436864
"Shawnee, OK Micro Area",72734,5.8,5.8,24.4,58270,34436,43060,35.1783637,-96.969909,29973,26817,3156,10.529476528875987
"Sheboygan, WI Metro Area",117741,2.8,7.8,17.8,68969,43955,43100,43.7128967,-87.9370433,52303,48702,3601,6.8848823203257945
"Shelbyville, TN Micro Area",50533,4.6,6.3,26.4,59955,33930,43180,35.5099479,-86.4507189,19685,18350,1335,6.781813563627128
"Shelton, WA Micro Area",66053,6.2,9.9,35.3,74388,41700,43220,47.3429635,-123.1822758,33269,25505,7764,23.337040488142115
"Sheridan, WY Micro Area",31176,3.0,8.8,15.9,68898,41215,43260,44.7947537,-106.8222688,14884,13349,1535,10.313087879602255
"Sherman-Denison, TX Metro Area",137008,3.9,9.0,25.7,66608,38087,43300,33.5636114,-96.6702111,58572,52307,6265,10.696237109881856
"Show Low, AZ Micro Area",107110,9.7,8.0,23.1,50335,32133,43320,35.1819775,-110.3549451,56180,36836,19344,34.43218227127092
"Shreveport-Bossier City, LA Metro Area",391957,7.5,5.0,21.9,53053,34995,43340,32.6676663,-93.5959786,179915,159810,20105,11.17472139621488
"Sidney, OH Micro Area",48145,4.9,4.8,18.9,73502,42225,43380,40.3491604,-84.1593008,20059,18803,1256,6.261528490951693
"Sierra Vista-Douglas, AZ Metro Area",125504,6.8,8.8,21.7,58421,35100,43420,31.8514532,-109.8181858,58648,50936,7712,13.1496385213477
"Sikeston, MO Micro Area",38055,2.9,4.1,20.2,54621,33728,43460,36.837087,-89.3336141,16746,15306,1440,8.599068434252956
"Silver City, NM Micro Area",28006,7.7,13.0,19.3,44895,25297,43500,32.7548776,-108.3634144,14584,12269,2315,15.87356006582556
"Sioux City, IA-NE-SD Metro Area",149113,4.1,5.3,17.6,69065,38861,43580,42.3775361,-96.0607187,60201,56332,3869,6.426803541469411
"Snyder, TX Micro Area",16883,2.2,3.0,18.5,58932,36313,43660,32.7225172,-100.9052015,6889,5925,964,13.993322688343737
"Somerset, KY Micro Area",65145,4.9,3.6,22.7,48768,32945,43700,37.1124781,-84.593893,31552,26405,5147,16.312753549695742
"Somerset, PA Micro Area",73802,5.2,7.3,24.8,57357,34478,43740,39.9980022,-79.0415528,37713,30208,7505,19.90029963142683
"Sonora, CA Micro Area",54993,8.3,11.0,29.6,70432,35743,43760,38.056944,-119.9919351,31415,22711,8704,27.706509629158045
"South Bend-Mishawaka, IN-MI Metro Area",323992,4.8,7.8,21.9,62448,36449,43780,41.5941578,-86.2787334,143414,128014,15400,10.738142719678692
"Spartanburg, SC Metro Area",330119,4.7,7.0,24.2,61955,37562,43900,34.937029,-81.9955954,137009,125836,11173,8.154938726652993
"Spearfish, SD Micro Area",26047,2.5,6.2,19.1,62977,32696,43940,44.3501591,-103.8248538,14163,11444,2719,19.19791004730636
"Spencer, IA Micro Area",16423,4.1,7.7,17.6,61756,36353,43980,43.0809373,-95.1407762,8109,7222,887,10.93846343568874
"Spirit Lake, IA Micro Area",17692,2.1,9.5,16.2,72446,38675,44020,43.3753018,-95.1654279,13691,7976,5715,41.742750712146666
"Spokane-Spokane Valley, WA Metro Area",585485,5.7,12.1,22.7,69752,39908,44060,47.5354964,-117.4074674,246261,231275,14986,6.085413443460394
"Springfield, IL Metro Area",208406,5.2,9.8,19.8,72445,44176,44100,40.0166667,-89.7858065,98573,89506,9067,9.198259158187334
"Springfield, MA Metro Area",689486,5.9,10.5,23.1,70547,41510,44140,42.1285315,-72.6063441,297623,278127,19496,6.550569008443567
"Springfield, MO Metro Area",477056,3.9,7.9,22.5,58291,35736,44180,36.9586087,-93.1692896,207779,192076,15703,7.557549126716367
"Springfield, OH Metro Area",135877,6.8,7.0,22.5,58954,36753,44220,39.9229676,-83.7905959,60987,55844,5143,8.432944725925196
"Starkville, MS Micro Area",61330,6.7,6.3,20.9,45358,25725,44260,33.4131096,-88.8937318,30438,25077,5361,17.612852355608123
"State College, PA Metro Area",158665,4.0,12.1,20.4,70087,33014,44300,40.9381735,-77.7865722,65408,59357,6051,9.25116193737769
"Statesboro, GA Micro Area",79829,8.3,6.7,24.5,53675,27964,44340,32.3846338,-81.744832,32983,29747,3236,9.811114816723766
"Steamboat Springs, CO Micro Area",24944,2.9,16.2,19.7,95144,48837,44460,40.6083135,-108.252345,16511,10388,6123,37.08436799709285
"Stephenville, TX Micro Area",42788,5.6,6.9,19.8,59654,30108,44500,32.1954856,-98.2213499,18325,15858,2467,13.462482946793996
"Sterling, CO Micro Area",21302,3.2,7.6,17.4,54864,34112,44540,40.7250975,-103.1221379,8668,7919,749,8.640978311029073
"Sterling, IL Micro Area",55569,4.4,4.1,19.9,62828,39454,44580,41.7612332,-89.9214744,25855,23556,2299,8.891897118545735
"Stillwater, OK Micro Area",82058,4.8,7.7,18.6,46658,25107,44660,36.0721527,-96.9456522,36708,30958,5750,15.664160401002505
"Storm Lake, IA Micro Area",20687,5.0,6.0,14.8,62662,36555,44740,42.7445814,-95.1127525,8141,7447,694,8.524751259059084
"Sturgis, MI Micro Area",60887,5.3,5.7,20.9,62281,36171,44780,41.9031963,-85.5356726,27081,23557,3524,13.012813411617
"Sulphur Springs, TX Micro Area",37008,4.8,5.4,23.4,63766,35270,44860,33.1368252,-95.5656578,15671,13947,1724,11.0012124306043
"Summerville, GA Micro Area",24902,4.7,2.8,27.4,43556,32474,44900,34.4620931,-85.3660518,10854,9520,1334,12.290399852588909
"Sumter, SC Metro Area",136362,7.8,4.3,23.9,52942,33854,44940,33.8998826,-80.3237032,62569,54514,8055,12.873787338777989
"Sunbury, PA Micro Area",91340,4.7,7.4,25.4,55952,37490,44980,41.0289528,-76.6615816,43300,37932,5368,12.397228637413397
"Susanville, CA Micro Area",31873,7.9,5.7,20.1,59515,39272,45000,40.7685579,-120.730998,12216,9888,2328,19.05697445972495
"Sweetwater, TX Micro Area",14657,6.6,3.1,17.9,47437,30436,45020,32.2719306,-100.3987748,7123,5857,1266,17.77341008002246
"Syracuse, NY Metro Area",658694,5.8,9.2,21.3,70096,41050,45060,42.875882,-75.6802581,296364,268611,27753,9.364497712272746
"Tahlequah, OK Micro Area",47412,5.6,6.0,24.8,52410,31986,45140,35.9158661,-94.9950063,22033,18023,4010,18.199972768120546
"Talladega-Sylacauga, AL Micro Area",81105,8.4,2.8,26.8,52457,34188,45180,32.9181762,-86.2327497,37948,33090,4858,12.801728681353431
"Tallahassee, FL Metro Area",386064,5.4,10.4,22.7,59757,33978,45220,30.5937346,-84.6389937,172730,155677,17053,9.872633589995948
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3194310,4.9,15.2,27.7,67197,40868,45300,28.5710156,-82.4605068,1465158,1307725,157433,10.745121004014583
"Taos, NM Micro Area",34475,5.9,15.0,22.6,55145,29458,45340,36.4925795,-105.6812782,20904,15747,5157,24.6699196326062
"Taylorville, IL Micro Area",33893,4.4,5.6,22.0,56933,36623,45380,39.5212598,-89.2829783,15184,13721,1463,9.635142255005269
"Terre Haute, IN Metro Area",185357,5.8,4.7,23.0,56449,34163,45460,39.3864958,-87.1025862,82185,72746,9439,11.485064184461883
"Texarkana, TX-AR Metro Area",147453,5.4,3.8,20.0,53628,37059,45500,33.6968793,-94.2065398,65358,57684,7674,11.74148535756908
"The Dalles, OR Micro Area",26639,7.1,7.1,17.6,61316,36914,45520,45.0430227,-121.2154207,11996,10553,1443,12.029009669889962
"Thomaston, GA Micro Area",27638,3.1,2.4,23.7,48740,34152,45580,32.8641062,-84.2904968,12301,11173,1128,9.169986179985369
"Thomasville, GA Micro Area",45665,6.2,5.8,19.8,55958,36561,45620,30.867067,-84.2322943,20668,18440,2228,10.779949680665764
"Tiffin, OH Micro Area",55062,4.2,4.8,21.2,62476,36332,45660,41.12350185,-83.12789884701573,23934,22017,1917,8.009526197041865
"Tifton, GA Micro Area",41247,2.9,4.2,21.1,52561,35181,45700,31.45874595,-83.51792416411274,17375,15921,1454,8.368345323741007
"Toccoa, GA Micro Area",26732,5.8,6.2,23.2,52901,30210,45740,34.55119,-83.2976462,12317,10618,1699,13.793943330356417
"Toledo, OH Metro Area",644547,5.9,6.3,21.1,61620,36952,45780,41.6045817,-84.1141048,303295,269650,33645,11.093160124631137
"Topeka, KS Metro Area",232995,3.9,8.8,20.7,65665,40763,45820,39.4030917,-95.8159647,104349,94837,9512,9.115564116570356
"Torrington, CT Micro Area",185765,5.5,11.0,28.7,89394,49566,45860,41.77750015,-73.21249993069905,87615,77502,10113,11.542544084916967
"Trenton-Princeton, NJ Metro Area",383732,6.1,15.6,27.5,92697,47012,45940,40.2807177,-74.7033717,150442,139361,11081,7.3656292790577105
"Troy, AL Micro Area",32997,4.9,3.6,20.3,42616,28119,45980,31.7615793,-85.9259465,15977,13901,2076,12.993678412718282
"Truckee-Grass Valley, CA Micro Area",102322,4.4,21.8,24.3,79395,41231,46020,39.3540335,-120.8089843,53627,42774,10853,20.237939843735436
"Tucson, AZ Metro Area",1042393,5.9,12.1,24.5,64323,35472,46060,32.1112624,-111.6546163,470132,427021,43111,9.16997779347077
"Tullahoma-Manchester, TN Micro Area",107618,3.8,7.5,24.4,58259,34776,46100,35.4906115,-86.069633,47301,42246,5055,10.686877655863512
"Tulsa, OK Metro Area",1017724,5.1,8.3,21.9,65784,39203,46140,35.8830723,-96.3835476,437257,397385,39872,9.11866476694484
"Tupelo, MS Micro Area",163378,4.6,3.6,23.1,59860,36735,46180,34.2774018,-88.3713687,72617,64214,8403,11.57167054546456
"Tuscaloosa, AL Metro Area",272931,5.6,5.3,24.3,58132,33648,46220,32.8620514,-87.9915392,121710,106925,14785,12.147728206392244
"Twin Falls, ID Metro Area",115066,3.2,6.9,18.9,62912,34075,46300,42.702266,-114.286704,43262,40859,2403,5.554528223383107
"Tyler, TX Metro Area",234667,4.7,7.0,23.2,69053,36490,46340,32.3402898,-95.2563971,97539,88567,8972,9.198371933277972
"Ukiah, CA Micro Area",91145,9.1,10.2,21.7,61335,34738,46380,39.3176491,-123.4126399,41370,36280,5090,12.303601643703166
"Union City, TN Micro Area",30670,5.0,3.8,19.8,50638,34118,46460,36.3556031,-89.1748819,14314,12928,1386,9.682828000558894
"Urbana, OH Micro Area",38715,4.5,6.9,26.5,70486,40108,46500,40.1726987,-83.7701999,16862,15638,1224,7.258925394377891
"Urban Honolulu, HI Metro Area",1010100,4.8,7.5,27.4,99816,46314,46520,21.468151,-157.960511,370665,336412,34253,9.24095881726087
"Utica-Rome, NY Metro Area",291348,4.4,8.2,21.3,66823,40886,46540,43.4911326,-74.9481252,137254,119164,18090,13.1799437539161
"Uvalde, TX Micro Area",24833,3.2,3.3,17.6,55000,29080,46620,29.300357,-99.7733181,10034,8624,1410,14.052222443691448
"Valdosta, GA Metro Area",148203,4.8,4.1,20.4,51216,33324,46660,30.8336559,-83.5958387,61597,55422,6175,10.024838872022988
"Vallejo, CA Metro Area",450995,5.9,9.6,32.7,97037,48170,46700,38.2218938,-121.9163555,162237,155924,6313,3.891220868235976
"Van Wert, OH Micro Area",28833,3.8,3.6,20.2,64841,40811,46780,40.8014651,-84.600988,12540,11589,951,7.583732057416268
"Vermillion, SD Micro Area",14953,8.2,7.6,16.9,55963,22296,46820,42.9190617,-96.9712933,6180,5564,616,9.967637540453074
"Vernal, UT Micro Area",35951,6.3,5.8,19.6,67983,34296,46860,40.1943199,-109.5770955,13657,11993,1664,12.184227868492348
"Vernon, TX Micro Area",12795,9.3,3.3,16.0,50769,28135,46900,34.0265157,-99.2085961,5836,4944,892,15.284441398217956
"Vicksburg, MS Micro Area",44341,4.7,2.6,21.1,54117,34101,46980,32.3649516,-90.7975574,21452,18480,2972,13.85418608987507
"Victoria, TX Metro Area",98301,5.1,6.0,22.2,66105,35823,47020,28.6467776,-97.4379552,42461,37266,5195,12.234756600174276
"Vidalia, GA Micro Area",35633,6.3,4.9,25.3,47430,33340,47080,32.0839135,-82.539273,15767,13662,2105,13.35066911904611
"Vincennes, IN Micro Area",36148,3.2,2.1,20.6,58173,37069,47180,38.687009,-87.3811461,16917,14783,2134,12.614529762960336
"Vineyard Haven, MA Micro Area",20543,7.0,17.7,15.7,93225,45503,47240,41.3926378,-70.642011,17530,8932,8598,49.04734740444952
"Visalia, CA Metro Area",473446,9.0,5.2,23.2,64474,33102,47300,36.2516475,-118.852583,150652,141987,8665,5.751666091389427
"Wabash, IN Micro Area",31032,3.5,4.7,20.5,66194,37969,47340,40.8065352,-85.7833563,14037,12721,1316,9.37522262591722
"Waco, TX Metro Area",278103,4.6,6.9,20.8,59193,33336,47380,31.8778358,-97.6561014,113237,102485,10752,9.49512968376061
"Wahpeton, ND-MN Micro Area",23002,3.2,7.0,20.1,67099,38603,47420,46.3258354,-96.4586194,10473,9445,1028,9.815716604602311
"Walla Walla, WA Metro Area",62150,5.8,10.4,15.1,66635,34419,47460,46.2055155,-118.5174284,24971,23082,1889,7.564775139161426
"Wapakoneta, OH Micro Area",46263,2.9,4.8,18.7,75231,44054,47540,40.5942186,-84.2641951,19873,18602,1271,6.3956121370703976
"Warner Robins, GA Metro Area",192171,5.1,7.5,22.7,73788,42185,47580,32.4659752,-83.631394,78624,72808,5816,7.397232397232398
"Warren, PA Micro Area",38492,4.3,4.3,20.1,57925,34778,47620,41.8119602,-79.2654452,21587,16618,4969,23.01848334645852
"Warrensburg, MO Micro Area",54025,4.8,5.2,23.1,62503,32761,47660,38.7295547,-93.8161034,22601,20321,2280,10.088049201362772
"Warsaw, IN Micro Area",80442,3.3,7.0,20.0,70945,40436,47700,41.2351957,-85.8529731,38133,31196,6937,18.191592583851257
"Washington, IN Micro Area",33337,1.9,4.7,23.1,64113,40042,47780,38.6776099,-87.0813484,12738,11737,1001,7.858376511226252
"Washington, NC Micro Area",44711,5.6,7.1,24.1,56081,35833,47820,35.469331,-76.8927522,24090,19430,4660,19.344126193441262
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6346083,4.9,19.3,33.7,119803,60914,47900,38.88905915,-77.04016998008728,2500128,2360771,139357,5.573994611475892
"Washington Court House, OH Micro Area",28901,4.3,4.4,26.8,56773,37451,47920,39.5839889,-83.4401122,12663,11752,911,7.194187791202716
"Waterloo-Cedar Falls, IA Metro Area",168404,4.7,8.2,17.6,66732,37201,47940,42.4607526,-92.3030235,74508,68938,5570,7.47570730659795
"Watertown, SD Micro Area",34598,1.7,5.6,15.5,67993,38715,47980,44.9695646,-97.1976513,15970,14181,1789,11.202254226675016
"Watertown-Fort Atkinson, WI Micro Area",85932,3.4,7.9,25.3,77018,41499,48020,43.0224668,-88.7673031,36376,33844,2532,6.960633384649219
"Watertown-Fort Drum, NY Metro Area",117445,6.4,6.3,19.6,62782,36719,48060,44.059311,-75.9995742,61604,45480,16124,26.17362508927992
"Waycross, GA Micro Area",55739,3.5,3.2,23.3,49055,32859,48180,31.3430068,-82.2352189,24218,21157,3061,12.639359154348009
"Weatherford, OK Micro Area",28391,2.9,3.0,18.7,58669,31270,48220,35.6286063,-99.0092034,12932,10859,2073,16.030003093102383
"Weirton-Steubenville, WV-OH Metro Area",116536,6.3,7.0,23.7,54142,34345,48260,40.3792938,-80.7847619,56085,49945,6140,10.947668717125792
"West Plains, MO Micro Area",39960,5.5,3.2,20.7,46401,30733,48460,36.766989,-91.9151975,18048,16117,1931,10.69924645390071
"Wheeling, WV-OH Metro Area",139287,5.4,4.8,24.3,56691,32845,48540,40.0057737,-81.0097516,67516,58608,8908,13.193909591800464
"Wichita, KS Metro Area",646794,5.0,6.5,20.3,66643,38526,48620,37.77924,-96.8456342,275434,252298,23136,8.399834443097076
"Wichita Falls, TX Metro Area",148523,3.9,5.9,16.8,60641,34402,48660,33.5816594,-98.7044869,64513,56665,7848,12.1649900020151
"Williamsport, PA Metro Area",114022,5.3,6.3,20.7,63437,36135,48700,41.3472688,-77.0220348,52625,46603,6022,11.443230403800476
"Williston, ND Micro Area",39076,2.5,2.9,16.9,86139,50925,48780,48.3629861,-103.4958386,20227,16095,4132,20.42814060414298
"Willmar, MN Micro Area",43686,3.8,7.5,17.5,73285,38232,48820,45.142373,-95.0025846,19950,17079,2871,14.390977443609025
"Wilmington, NC Metro Area",289726,5.1,14.0,22.6,68845,39353,48900,34.0718195,-78.1914215,143295,121071,22224,15.509264105516593
"Wilmington, OH Micro Area",42077,4.7,6.1,26.1,64210,35664,48940,39.4259873,-83.8445792,17906,16464,1442,8.05316653635653
"Wilson, NC Micro Area",78667,6.6,5.2,22.6,49827,34991,48980,35.7059114,-77.9175714,36252,32222,4030,11.11662804810769
"Winchester, VA-WV Metro Area",143385,5.0,9.4,31.0,79416,43674,49020,39.2127031,-78.279166,60615,55089,5526,9.116555308092057
"Winnemucca, NV Micro Area",17266,4.3,8.8,27.9,75574,44556,49080,41.429394,-118.2024818,7658,6575,1083,14.142073648472186
"Winona, MN Micro Area",49792,2.8,8.2,17.5,66162,33289,49100,43.9582272,-91.7807784,21716,20111,1605,7.3908638791674335
"Winston-Salem, NC Metro Area",678243,5.2,8.9,24.3,60145,37249,49180,35.7902384,-80.2115053,301571,276135,25436,8.434498012076757
"Wisconsin Rapids-Marshfield, WI Micro Area",74138,4.2,7.7,20.9,63273,40450,49220,44.4517617,-90.0199618,34549,32238,2311,6.689050334307795
"Woodward, OK Micro Area",24166,5.8,2.9,21.6,60873,34962,49260,36.374499,-99.2455382,11514,9309,2205,19.150599270453363
"Wooster, OH Micro Area",116680,3.3,6.2,20.2,70320,37892,49300,40.8615819,-81.9034617,46555,43983,2572,5.524648265492428
"Worthington, MN Micro Area",22194,3.0,5.4,18.9,62973,35849,49380,43.6634212,-95.7527672,8394,7851,543,6.468906361686918
"Yakima, WA Metro Area",256143,7.2,5.4,19.7,64910,34577,49420,46.4135961,-120.730253,90504,85882,4622,5.106956598603377
"Yankton, SD Micro Area",23311,1.6,5.5,14.7,68847,41085,49460,43.0115255,-97.3967561,10372,9435,937,9.033937524103356
"York-Hanover, PA Metro Area",457051,4.6,9.1,26.8,79183,44067,49620,39.97314305,-76.74297462376592,187187,177553,9634,5.14672493282119
"Yuba City, CA Metro Area",180806,7.5,6.7,29.5,70176,38520,49700,38.9509675,-121.697088,63957,60070,3887,6.077520834310553
"Yuma, AZ Metro Area",204374,8.3,5.9,20.8,56439,32675,49740,32.7915374,-113.897503,92048,69589,22459,24.399226490526683
"Zanesville, OH Micro Area",86393,4.6,4.3,25.0,56810,36022,49780,40.0064162,-81.9984697,38358,35091,3267,8.517128108869075
"Zapata, TX Micro Area",13896,8.1,6.7,24.0,35061,24990,49820,26.9879626,-99.1673556,6159,4536,1623,26.35168046760838
