msa,Population
"Aberdeen, SD Micro Area",42292
"Aberdeen, WA Micro Area",75672
"Abilene, TX Metro Area",176656
"Ada, OK Micro Area",38116
"Adrian, MI Micro Area",99263
"Aguadilla-Isabela, PR Metro Area",308919
"Akron, OH Metro Area",700578
"Alamogordo, NM Micro Area",67850
"Albany, GA Metro Area",147716
"Albany-Lebanon, OR Metro Area",128598
"Albany-Schenectady-Troy, NY Metro Area",901729
"Albemarle, NC Micro Area",62723
"Albert Lea, MN Micro Area",30857
"Albertville, AL Micro Area",97923
"Albuquerque, NM Metro Area",915968
"Alexander City, AL Micro Area",51580
"Alexandria, LA Metro Area",151721
"Alexandria, MN Micro Area",39081
"Alice, TX Micro Area",49020
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",863166
"Alma, MI Micro Area",41534
"Alpena, MI Micro Area",28911
"Altoona, PA Metro Area",122640
"Altus, OK Micro Area",24776
"Amarillo, TX Metro Area",269278
"Americus, GA Micro Area",33943
"Ames, IA Metro Area",125273
"Amsterdam, NY Micro Area",49624
"Anchorage, AK Metro Area",399335
"Andrews, TX Micro Area",18362
"Angola, IN Micro Area",34507
"Ann Arbor, MI Metro Area",370231
"Anniston-Oxford, AL Metro Area",116162
"Appleton, WI Metro Area",242972
"Arcadia, FL Micro Area",34258
"Ardmore, OK Micro Area",58360
"Arecibo, PR Metro Area",181820
"Arkadelphia, AR Micro Area",21469
"Asheville, NC Metro Area",469484
"Ashland, OH Micro Area",52522
"Ashtabula, OH Micro Area",97666
"Astoria, OR Micro Area",41190
"Atchison, KS Micro Area",16309
"Athens, OH Micro Area",61276
"Athens, TN Micro Area",53532
"Athens, TX Micro Area",82627
"Athens-Clarke County, GA Metro Area",216194
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",6094752
"Atlantic City-Hammonton, NJ Metro Area",274339
"Atmore, AL Micro Area",36755
"Auburn, IN Micro Area",43312
"Auburn, NY Micro Area",76171
"Auburn-Opelika, AL Metro Area",175126
"Augusta-Richmond County, GA-SC Metro Area",612898
"Augusta-Waterville, ME Micro Area",124003
"Austin, MN Micro Area",40082
"Austin-Round Rock-Georgetown, TX Metro Area",2296377
"Bainbridge, GA Micro Area",29063
"Bakersfield, CA Metro Area",906883
"Baltimore-Columbia-Towson, MD Metro Area",2840005
"Bangor, ME Metro Area",152640
"Baraboo, WI Micro Area",65664
"Bardstown, KY Micro Area",46779
"Barnstable Town, MA Metro Area",229436
"Barre, VT Micro Area",59768
"Bartlesville, OK Micro Area",52579
"Batavia, NY Micro Area",58204
"Batesville, AR Micro Area",55332
"Baton Rouge, LA Metro Area",869755
"Battle Creek, MI Metro Area",134011
"Bay City, MI Metro Area",103752
"Bay City, TX Micro Area",36251
"Beatrice, NE Micro Area",21654
"Beaumont-Port Arthur, TX Metro Area",396279
"Beaver Dam, WI Micro Area",89032
"Beckley, WV Metro Area",114848
"Bedford, IN Micro Area",45113
"Beeville, TX Micro Area",30977
"Bellefontaine, OH Micro Area",46098
"Bellingham, WA Metro Area",226523
"Bemidji, MN Micro Area",46274
"Bend, OR Metro Area",199352
"Bennettsville, SC Micro Area",26585
"Bennington, VT Micro Area",37326
"Berlin, NH Micro Area",31430
"Big Rapids, MI Micro Area",40128
"Big Spring, TX Micro Area",34488
"Big Stone Gap, VA Micro Area",39773
"Billings, MT Metro Area",185147
"Binghamton, NY Metro Area",246709
"Birmingham-Hoover, AL Metro Area",1114368
"Bismarck, ND Metro Area",133467
"Blackfoot, ID Micro Area",48253
"Blacksburg-Christiansburg, VA Metro Area",166304
"Bloomington, IL Metro Area",171284
"Bloomington, IN Metro Area",161426
"Bloomsburg-Berwick, PA Metro Area",83089
"Bluefield, WV-VA Micro Area",106163
"Bluffton, IN Micro Area",28167
"Blytheville, AR Micro Area",40361
"Bogalusa, LA Micro Area",45514
"Boise City, ID Metro Area",771602
"Bonham, TX Micro Area",36052
"Boone, NC Micro Area",54540
"Borger, TX Micro Area",20595
"Boston-Cambridge-Newton, MA-NH Metro Area",4912449
"Boulder, CO Metro Area",328658
"Bowling Green, KY Metro Area",180624
"Bozeman, MT Micro Area",119685
"Bradford, PA Micro Area",40459
"Brainerd, MN Micro Area",96846
"Branson, MO Micro Area",56202
"Breckenridge, CO Micro Area",30955
"Bremerton-Silverdale-Port Orchard, WA Metro Area",275411
"Brenham, TX Micro Area",35807
"Brevard, NC Micro Area",33131
"Bridgeport-Stamford-Norwalk, CT Metro Area",958371
"Brookhaven, MS Micro Area",34855
"Brookings, OR Micro Area",23404
"Brookings, SD Micro Area",34631
"Brownsville, TN Micro Area",17806
"Brownsville-Harlingen, TX Metro Area",421854
"Brownwood, TX Micro Area",38159
"Brunswick, GA Metro Area",113854
"Bucyrus-Galion, OH Micro Area",41861
"Buffalo-Cheektowaga, NY Metro Area",1163462
"Burley, ID Micro Area",46485
"Burlington, IA-IL Micro Area",45198
"Burlington, NC Metro Area",171779
"Burlington-South Burlington, VT Metro Area",225745
"Butte-Silver Bow, MT Micro Area",35306
"Cadillac, MI Micro Area",48855
"Calhoun, GA Micro Area",57785
"California-Lexington Park, MD Metro Area",113814
"Cambridge, MD Micro Area",32557
"Cambridge, OH Micro Area",38409
"Camden, AR Micro Area",27379
"Campbellsville, KY Micro Area",37254
"Cañon City, CO Micro Area",49107
"Canton-Massillon, OH Metro Area",400960
"Cape Coral-Fort Myers, FL Metro Area",772902
"Cape Girardeau, MO-IL Metro Area",97622
"Carbondale-Marion, IL Metro Area",133609
"Carlsbad-Artesia, NM Micro Area",61264
"Carroll, IA Micro Area",20728
"Carson City, NV Metro Area",58249
"Casper, WY Metro Area",79506
"Cedar City, UT Micro Area",58068
"Cedar Rapids, IA Metro Area",275693
"Cedartown, GA Micro Area",43019
"Celina, OH Micro Area",42321
"Central City, KY Micro Area",30735
"Centralia, IL Micro Area",37543
"Centralia, WA Micro Area",82663
"Chambersburg-Waynesboro, PA Metro Area",156084
"Champaign-Urbana, IL Metro Area",223223
"Charleston, WV Metro Area",257927
"Charleston-Mattoon, IL Micro Area",57523
"Charleston-North Charleston, SC Metro Area",803398
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2668688
"Charlottesville, VA Metro Area",221648
"Chattanooga, TN-GA Metro Area",564466
"Cheyenne, WY Metro Area",100316
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9566955
"Chico, CA Metro Area",213605
"Chillicothe, OH Micro Area",76957
"Cincinnati, OH-KY-IN Metro Area",2253528
"Clarksburg, WV Micro Area",90311
"Clarksdale, MS Micro Area",21264
"Clarksville, TN-KY Metro Area",322949
"Clearlake, CA Micro Area",68024
"Cleveland, MS Micro Area",30688
"Cleveland, TN Metro Area",126479
"Cleveland-Elyria, OH Metro Area",2079759
"Clewiston, FL Micro Area",39902
"Clinton, IA Micro Area",46488
"Clovis, NM Micro Area",48327
"Coamo, PR Micro Area",34557
"Coco, PR Micro Area",25688
"Coeur d'Alene, ID Metro Area",173396
"Coffeyville, KS Micro Area",31448
"Coldwater, MI Micro Area",44795
"College Station-Bryan, TX Metro Area",269418
"Colorado Springs, CO Metro Area",755081
"Columbia, MO Metro Area",211078
"Columbia, SC Metro Area",831913
"Columbus, GA-AL Metro Area",326159
"Columbus, IN Metro Area",82371
"Columbus, MS Micro Area",58547
"Columbus, NE Micro Area",34219
"Columbus, OH Metro Area",2137223
"Concord, NH Micro Area",153918
"Connersville, IN Micro Area",23391
"Cookeville, TN Micro Area",114463
"Coos Bay, OR Micro Area",64908
"Cordele, GA Micro Area",20255
"Corinth, MS Micro Area",34717
"Cornelia, GA Micro Area",46326
"Corning, NY Micro Area",93584
"Corpus Christi, TX Metro Area",422187
"Corsicana, TX Micro Area",52834
"Cortland, NY Micro Area",46755
"Corvallis, OR Metro Area",95615
"Coshocton, OH Micro Area",36629
"Craig, CO Micro Area",13232
"Crawfordsville, IN Micro Area",38018
"Crescent City, CA Micro Area",27462
"Crestview-Fort Walton Beach-Destin, FL Metro Area",288639
"Crossville, TN Micro Area",61552
"Cullman, AL Micro Area",88284
"Cullowhee, NC Micro Area",56518
"Cumberland, MD-WV Metro Area",95118
"Dallas-Fort Worth-Arlington, TX Metro Area",7673379
"Dalton, GA Metro Area",143096
"Danville, IL Metro Area",74113
"Danville, KY Micro Area",54933
"Danville, VA Micro Area",103048
"Daphne-Fairhope-Foley, AL Metro Area",233420
"Davenport-Moline-Rock Island, IA-IL Metro Area",382983
"Dayton, TN Micro Area",33031
"Dayton-Kettering, OH Metro Area",812506
"Decatur, AL Metro Area",156218
"Decatur, IL Metro Area",103542
"Decatur, IN Micro Area",35827
"Defiance, OH Micro Area",38300
"Del Rio, TX Micro Area",47693
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",676035
"Deming, NM Micro Area",25393
"Denver-Aurora-Lakewood, CO Metro Area",2959386
"DeRidder, LA Micro Area",36553
"Des Moines-West Des Moines, IA Metro Area",711490
"Detroit-Warren-Dearborn, MI Metro Area",4375604
"Dickinson, ND Micro Area",33828
"Dixon, IL Micro Area",34221
"Dodge City, KS Micro Area",34212
"Dothan, AL Metro Area",150969
"Douglas, GA Micro Area",51321
"Dover, DE Metro Area",182400
"Dublin, GA Micro Area",65043
"DuBois, PA Micro Area",79707
"Dubuque, IA Metro Area",98812
"Duluth, MN-WI Metro Area",291491
"Dumas, TX Micro Area",21284
"Duncan, OK Micro Area",43140
"Durango, CO Micro Area",55983
"Durant, OK Micro Area",46528
"Durham-Chapel Hill, NC Metro Area",648066
"Dyersburg, TN Micro Area",36818
"Eagle Pass, TX Micro Area",57806
"Easton, MD Micro Area",37663
"East Stroudsburg, PA Metro Area",168128
"Eau Claire, WI Metro Area",171951
"Edwards, CO Micro Area",55650
"Effingham, IL Micro Area",34594
"El Campo, TX Micro Area",41614
"El Centro, CA Metro Area",179578
"El Dorado, AR Micro Area",38815
"Elizabeth City, NC Micro Area",53507
"Elizabethtown-Fort Knox, KY Metro Area",155871
"Elk City, OK Micro Area",22295
"Elkhart-Goshen, IN Metro Area",206841
"Elkins, WV Micro Area",28005
"Elko, NV Micro Area",55222
"Ellensburg, WA Micro Area",44424
"Elmira, NY Metro Area",83584
"El Paso, TX Metro Area",867161
"Emporia, KS Micro Area",34752
"Enid, OK Metro Area",62456
"Enterprise, AL Micro Area",53559
"Erie, PA Metro Area",270495
"Escanaba, MI Micro Area",36839
"Española, NM Micro Area",40285
"Eufaula, AL-GA Micro Area",27057
"Eugene-Springfield, OR Metro Area",382218
"Eureka-Arcata, CA Micro Area",136132
"Evanston, WY Micro Area",20546
"Evansville, IN-KY Metro Area",313961
"Fairbanks, AK Metro Area",96299
"Fairfield, IA Micro Area",15785
"Fairmont, MN Micro Area",19960
"Fairmont, WV Micro Area",56194
"Fallon, NV Micro Area",25409
"Fargo, ND-MN Metro Area",251635
"Faribault-Northfield, MN Micro Area",67152
"Farmington, MO Micro Area",66814
"Farmington, NM Metro Area",121798
"Fayetteville, NC Metro Area",522537
"Fayetteville-Springdale-Rogers, AR Metro Area",550596
"Fergus Falls, MN Micro Area",60072
"Fernley, NV Micro Area",59435
"Findlay, OH Micro Area",75072
"Fitzgerald, GA Micro Area",17169
"Flagstaff, AZ Metro Area",144705
"Flint, MI Metro Area",405280
"Florence, SC Metro Area",200040
"Florence-Muscle Shoals, AL Metro Area",151599
"Fond du Lac, WI Metro Area",104027
"Forest City, NC Micro Area",64680
"Forrest City, AR Micro Area",23138
"Fort Collins, CO Metro Area",359363
"Fort Dodge, IA Micro Area",36986
"Fort Leonard Wood, MO Micro Area",53726
"Fort Madison-Keokuk, IA-IL-MO Micro Area",57717
"Fort Morgan, CO Micro Area",29045
"Fort Payne, AL Micro Area",71680
"Fort Polk South, LA Micro Area",48452
"Fort Smith, AR-OK Metro Area",245475
"Fort Wayne, IN Metro Area",419715
"Frankfort, IN Micro Area",33020
"Frankfort, KY Micro Area",75314
"Fredericksburg, TX Micro Area",26953
"Freeport, IL Micro Area",44482
"Fremont, NE Micro Area",37175
"Fremont, OH Micro Area",58885
"Fresno, CA Metro Area",1008280
"Gadsden, AL Metro Area",103348
"Gaffney, SC Micro Area",56200
"Gainesville, FL Metro Area",341067
"Gainesville, GA Metro Area",204953
"Gainesville, TX Micro Area",41860
"Galesburg, IL Micro Area",49751
"Gallup, NM Micro Area",72073
"Garden City, KS Micro Area",42151
"Gardnerville Ranchos, NV Micro Area",49476
"Georgetown, SC Micro Area",63594
"Gettysburg, PA Metro Area",104604
"Gillette, WY Micro Area",60985
"Glasgow, KY Micro Area",54824
"Glens Falls, NY Metro Area",126994
"Glenwood Springs, CO Micro Area",79008
"Gloversville, NY Micro Area",53280
"Goldsboro, NC Metro Area",117480
"Granbury, TX Micro Area",62459
"Grand Forks, ND-MN Metro Area",104055
"Grand Island, NE Metro Area",76726
"Grand Junction, CO Metro Area",156131
"Grand Rapids, MN Micro Area",45054
"Grand Rapids-Kentwood, MI Metro Area",1087068
"Grants, NM Micro Area",27211
"Grants Pass, OR Metro Area",87994
"Great Bend, KS Micro Area",25477
"Great Falls, MT Metro Area",84423
"Greeley, CO Metro Area",331466
"Green Bay, WI Metro Area",328011
"Greeneville, TN Micro Area",70399
"Greensboro-High Point, NC Metro Area",775169
"Greensburg, IN Micro Area",26432
"Greenville, MS Micro Area",44604
"Greenville, NC Metro Area",171196
"Greenville, OH Micro Area",51751
"Greenville-Anderson, SC Metro Area",931405
"Greenwood, MS Micro Area",37850
"Greenwood, SC Micro Area",69309
"Grenada, MS Micro Area",21474
"Guayama, PR Metro Area",68089
"Gulfport-Biloxi, MS Metro Area",416839
"Guymon, OK Micro Area",21144
"Hagerstown-Martinsburg, MD-WV Metro Area",295165
"Hailey, ID Micro Area",25381
"Hammond, LA Metro Area",133953
"Hanford-Corcoran, CA Metro Area",152515
"Hannibal, MO Micro Area",38881
"Harrisburg-Carlisle, PA Metro Area",593318
"Harrison, AR Micro Area",44905
"Harrisonburg, VA Metro Area",135689
"Hartford-East Hartford-Middletown, CT Metro Area",1215703
"Hastings, NE Micro Area",31143
"Hattiesburg, MS Metro Area",172176
"Hays, KS Micro Area",28921
"Heber, UT Micro Area",77533
"Helena, MT Micro Area",83760
"Helena-West Helena, AR Micro Area",16373
"Henderson, NC Micro Area",42492
"Hereford, TX Micro Area",18585
"Hermiston-Pendleton, OR Micro Area",92044
"Hickory-Lenoir-Morganton, NC Metro Area",366031
"Hillsdale, MI Micro Area",45698
"Hilo, HI Micro Area",202163
"Hilton Head Island-Bluffton, SC Metro Area",218515
"Hinesville, GA Metro Area",82354
"Hobbs, NM Micro Area",73103
"Holland, MI Micro Area",120189
"Homosassa Springs, FL Metro Area",155173
"Hood River, OR Micro Area",23965
"Hope, AR Micro Area",28329
"Hot Springs, AR Metro Area",100021
"Houghton, MI Micro Area",39502
"Houma-Thibodaux, LA Metro Area",206082
"Houston-The Woodlands-Sugar Land, TX Metro Area",7142603
"Hudson, NY Micro Area",61469
"Huntingdon, PA Micro Area",44123
"Huntington, IN Micro Area",36699
"Huntington-Ashland, WV-KY-OH Metro Area",359005
"Huntsville, AL Metro Area",493980
"Huntsville, TX Micro Area",77182
"Huron, SD Micro Area",20925
"Hutchinson, KS Micro Area",61881
"Hutchinson, MN Micro Area",36727
"Idaho Falls, ID Metro Area",158478
"Indiana, PA Micro Area",83394
"Indianapolis-Carmel-Anderson, IN Metro Area",2109957
"Indianola, MS Micro Area",25867
"Iowa City, IA Metro Area",175894
"Iron Mountain, MI-WI Micro Area",30511
"Ithaca, NY Metro Area",102555
"Jackson, MI Metro Area",160637
"Jackson, MS Metro Area",591397
"Jackson, OH Micro Area",32563
"Jackson, TN Metro Area",180446
"Jackson, WY-ID Micro Area",35159
"Jacksonville, FL Metro Area",1613587
"Jacksonville, IL Micro Area",37781
"Jacksonville, NC Metro Area",203686
"Jacksonville, TX Micro Area",50824
"Jamestown, ND Micro Area",21609
"Jamestown-Dunkirk-Fredonia, NY Micro Area",127440
"Janesville-Beloit, WI Metro Area",163817
"Jasper, AL Micro Area",64978
"Jasper, IN Micro Area",55811
"Jayuya, PR Micro Area",14726
"Jefferson, GA Micro Area",77033
"Jefferson City, MO Metro Area",150182
"Jennings, LA Micro Area",32277
"Jesup, GA Micro Area",30277
"Johnson City, TN Metro Area",207442
"Johnstown, PA Metro Area",133263
"Jonesboro, AR Metro Area",134035
"Joplin, MO Metro Area",181807
"Juneau, AK Micro Area",32108
"Kahului-Wailuku-Lahaina, HI Metro Area",164765
"Kalamazoo-Portage, MI Metro Area",261426
"Kalispell, MT Micro Area",105950
"Kankakee, IL Metro Area",107421
"Kansas City, MO-KS Metro Area",2190750
"Kapaa, HI Micro Area",73511
"Kearney, NE Micro Area",56758
"Keene, NH Micro Area",76610
"Kendallville, IN Micro Area",47431
"Kennett, MO Micro Area",28174
"Kennewick-Richland, WA Metro Area",304252
"Kerrville, TX Micro Area",52810
"Ketchikan, AK Micro Area",13910
"Key West, FL Micro Area",82044
"Kill Devil Hills, NC Micro Area",37160
"Killeen-Temple, TX Metro Area",477577
"Kingsport-Bristol, TN-VA Metro Area",308386
"Kingston, NY Metro Area",182153
"Kingsville, TX Micro Area",30976
"Kinston, NC Micro Area",55071
"Kirksville, MO Micro Area",29365
"Klamath Falls, OR Micro Area",69506
"Knoxville, TN Metro Area",884359
"Kokomo, IN Metro Area",83452
"Laconia, NH Micro Area",63914
"La Crosse-Onalaska, WI-MN Metro Area",139042
"Lafayette, LA Metro Area",479865
"Lafayette-West Lafayette, IN Metro Area",224515
"La Grande, OR Micro Area",26286
"LaGrange, GA-AL Micro Area",104139
"Lake Charles, LA Metro Area",216217
"Lake City, FL Micro Area",69832
"Lake Havasu City-Kingman, AZ Metro Area",214229
"Lakeland-Winter Haven, FL Metro Area",736229
"Lamesa, TX Micro Area",12342
"Lancaster, PA Metro Area",553202
"Lansing-East Lansing, MI Metro Area",538985
"Laramie, WY Micro Area",37525
"Laredo, TX Metro Area",267282
"Las Cruces, NM Metro Area",219870
"Las Vegas, NM Micro Area",31423
