"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"    Dickinson, ND Micro Area","15,948","13,967","1,981"
"Dixon, IL Micro Area","","",""
"    Dixon, IL Micro Area","14,985","13,589","1,396"
"Dodge City, KS Micro Area","","",""
"    Dodge City, KS Micro Area","12,550","11,376","1,174"
"Dothan, AL Metro Area","","",""
"    Dothan, AL Metro Area","70,792","62,411","8,381"
"Douglas, GA Micro Area","","",""
"    Douglas, GA Micro Area","20,801","18,341","2,460"
"Dover, DE Metro Area","","",""
"    Dover, DE Metro Area","72,708","68,290","4,418"
"Dublin, GA Micro Area","","",""
"    Dublin, GA Micro Area","28,334","25,050","3,284"
"DuBois, PA Micro Area","","",""
"    DuBois, PA Micro Area","38,078","32,435","5,643"
"Dubuque, IA Metro Area","","",""
"    Dubuque, IA Metro Area","42,630","39,891","2,739"
"Duluth, MN-WI Metro Area","","",""
"    Duluth, MN-WI Metro Area","149,586","124,417","25,169"
"Dumas, TX Micro Area","","",""
"    Dumas, TX Micro Area","8,188","7,258","930"
"Duncan, OK Micro Area","","",""
"    Duncan, OK Micro Area","20,322","17,268","3,054"
"Durango, CO Micro Area","","",""
"    Durango, CO Micro Area","28,198","23,487","4,711"
"Durant, OK Micro Area","","",""
"    Durant, OK Micro Area","20,366","17,954","2,412"
"Durham-Chapel Hill, NC Metro Area","","",""
"    Durham-Chapel Hill, NC Metro Area","282,215","261,637","20,578"
"Dyersburg, TN Micro Area","","",""
"    Dyersburg, TN Micro Area","16,218","14,787","1,431"
"Eagle Pass, TX Micro Area","","",""
"    Eagle Pass, TX Micro Area","20,072","18,034","2,038"
"Easton, MD Micro Area","","",""
"    Easton, MD Micro Area","19,538","16,296","3,242"
"East Stroudsburg, PA Metro Area","","",""
"    East Stroudsburg, PA Metro Area","79,114","62,284","16,830"
"Eau Claire, WI Metro Area","","",""
"    Eau Claire, WI Metro Area","73,654","69,167","4,487"
"Edwards, CO Micro Area","","",""
"    Edwards, CO Micro Area","32,967","20,760","12,207"
"Effingham, IL Micro Area","","",""
"    Effingham, IL Micro Area","15,314","14,117","1,197"
"El Campo, TX Micro Area","","",""
"    El Campo, TX Micro Area","17,296","15,446","1,850"
"El Centro, CA Metro Area","","",""
"    El Centro, CA Metro Area","56,625","52,050","4,575"
"El Dorado, AR Micro Area","","",""
"    El Dorado, AR Micro Area","18,599","16,182","2,417"
"Elizabeth City, NC Micro Area","","",""
"    Elizabeth City, NC Micro Area","24,276","21,182","3,094"
"Elizabethtown-Fort Knox, KY Metro Area","","",""
"    Elizabethtown-Fort Knox, KY Metro Area","65,086","59,857","5,229"
"Elk City, OK Micro Area","","",""
"    Elk City, OK Micro Area","10,123","8,034","2,089"
"Elkhart-Goshen, IN Metro Area","","",""
"    Elkhart-Goshen, IN Metro Area","79,594","74,631","4,963"
"Elkins, WV Micro Area","","",""
"    Elkins, WV Micro Area","13,035","10,980","2,055"
"Elko, NV Micro Area","","",""
"    Elko, NV Micro Area","22,732","20,433","2,299"
"Ellensburg, WA Micro Area","","",""
"    Ellensburg, WA Micro Area","23,743","18,650","5,093"
"Elmira, NY Metro Area","","",""
"    Elmira, NY Metro Area","38,985","35,242","3,743"
"El Paso, TX Metro Area","","",""
"    El Paso, TX Metro Area","319,001","297,233","21,768"
"Emporia, KS Micro Area","","",""
"    Emporia, KS Micro Area","16,354","14,239","2,115"
"Enid, OK Metro Area","","",""
"    Enid, OK Metro Area","27,846","24,198","3,648"
"Enterprise, AL Micro Area","","",""
"    Enterprise, AL Micro Area","24,105","21,263","2,842"
"Erie, PA Metro Area","","",""
"    Erie, PA Metro Area","119,791","109,371","10,420"
"Escanaba, MI Micro Area","","",""
"    Escanaba, MI Micro Area","19,786","16,290","3,496"
"Española, NM Micro Area","","",""
"    Española, NM Micro Area","19,545","16,122","3,423"
"Eufaula, AL-GA Micro Area","","",""
"    Eufaula, AL-GA Micro Area","13,296","10,675","2,621"
"Eugene-Springfield, OR Metro Area","","",""
"    Eugene-Springfield, OR Metro Area","166,226","156,594","9,632"
"Eureka-Arcata, CA Micro Area","","",""
"    Eureka-Arcata, CA Micro Area","62,120","56,422","5,698"
"Evanston, WY Micro Area","","",""
"    Evanston, WY Micro Area","8,798","7,733","1,065"
"Evansville, IN-KY Metro Area","","",""
"    Evansville, IN-KY Metro Area","141,244","129,180","12,064"
"Fairbanks, AK Metro Area","","",""
"    Fairbanks, AK Metro Area","42,659","36,521","6,138"
"Fairfield, IA Micro Area","","",""
"    Fairfield, IA Micro Area","7,689","6,902","787"
"Fairmont, MN Micro Area","","",""
"    Fairmont, MN Micro Area","9,748","8,748","1,000"
"Fairmont, WV Micro Area","","",""
"    Fairmont, WV Micro Area","26,280","23,223","3,057"
"Fallon, NV Micro Area","","",""
"    Fallon, NV Micro Area","10,772","10,017","755"
"Fargo, ND-MN Metro Area","","",""
"    Fargo, ND-MN Metro Area","112,241","103,603","8,638"
"Faribault-Northfield, MN Micro Area","","",""
"    Faribault-Northfield, MN Micro Area","25,018","23,416","1,602"
"Farmington, MO Micro Area","","",""
"    Farmington, MO Micro Area","28,636","24,792","3,844"
"Farmington, NM Metro Area","","",""
"    Farmington, NM Metro Area","47,744","42,536","5,208"
"Fayetteville, NC Metro Area","","",""
"    Fayetteville, NC Metro Area","215,134","195,651","19,483"
"Fayetteville-Springdale-Rogers, AR Metro Area","","",""
"    Fayetteville-Springdale-Rogers, AR Metro Area","221,207","203,096","18,111"
"Fergus Falls, MN Micro Area","","",""
"    Fergus Falls, MN Micro Area","36,506","25,123","11,383"
"Fernley, NV Micro Area","","",""
"    Fernley, NV Micro Area","24,401","22,704","1,697"
"Findlay, OH Micro Area","","",""
"    Findlay, OH Micro Area","33,655","31,107","2,548"
"Fitzgerald, GA Micro Area","","",""
"    Fitzgerald, GA Micro Area","8,124","7,074","1,050"
"Flagstaff, AZ Metro Area","","",""
"    Flagstaff, AZ Metro Area","69,108","51,320","17,788"
"Flint, MI Metro Area","","",""
"    Flint, MI Metro Area","183,087","167,118","15,969"
"Florence, SC Metro Area","","",""
"    Florence, SC Metro Area","89,973","80,276","9,697"
"Florence-Muscle Shoals, AL Metro Area","","",""
"    Florence-Muscle Shoals, AL Metro Area","72,251","63,969","8,282"
"Fond du Lac, WI Metro Area","","",""
"    Fond du Lac, WI Metro Area","45,740","42,824","2,916"
"Forest City, NC Micro Area","","",""
"    Forest City, NC Micro Area","32,444","26,652","5,792"
"Forrest City, AR Micro Area","","",""
"    Forrest City, AR Micro Area","9,565","8,470","1,095"
"Fort Collins, CO Metro Area","","",""
"    Fort Collins, CO Metro Area","158,769","144,360","14,409"
"Fort Dodge, IA Micro Area","","",""
"    Fort Dodge, IA Micro Area","16,937","15,046","1,891"
"Fort Leonard Wood, MO Micro Area","","",""
"    Fort Leonard Wood, MO Micro Area","19,315","16,902","2,413"
"Fort Madison-Keokuk, IA-IL-MO Micro Area","","",""
"    Fort Madison-Keokuk, IA-IL-MO Micro Area","28,026","24,344","3,682"
"Fort Morgan, CO Micro Area","","",""
"    Fort Morgan, CO Micro Area","11,493","10,519","974"
"Fort Payne, AL Micro Area","","",""
"    Fort Payne, AL Micro Area","30,584","27,145","3,439"
"Fort Polk South, LA Micro Area","","",""
"    Fort Polk South, LA Micro Area","21,953","18,761","3,192"
"Fort Smith, AR-OK Metro Area","","",""
"    Fort Smith, AR-OK Metro Area","107,795","96,313","11,482"
"Fort Wayne, IN Metro Area","","",""
"    Fort Wayne, IN Metro Area","177,268","165,547","11,721"
"Frankfort, IN Micro Area","","",""
"    Frankfort, IN Micro Area","13,450","12,421","1,029"
"Frankfort, KY Micro Area","","",""
"    Frankfort, KY Micro Area","34,044","31,207","2,837"
"Fredericksburg, TX Micro Area","","",""
"    Fredericksburg, TX Micro Area","14,128","11,486","2,642"
"Freeport, IL Micro Area","","",""
"    Freeport, IL Micro Area","21,369","19,184","2,185"
"Fremont, NE Micro Area","","",""
"    Fremont, NE Micro Area","16,191","14,813","1,378"
"Fremont, OH Micro Area","","",""
"    Fremont, OH Micro Area","26,479","24,444","2,035"
"Fresno, CA Metro Area","","",""
"    Fresno, CA Metro Area","338,441","319,296","19,145"
"Gadsden, AL Metro Area","","",""
"    Gadsden, AL Metro Area","47,306","41,974","5,332"
"Gaffney, SC Micro Area","","",""
"    Gaffney, SC Micro Area","24,713","22,349","2,364"
"Gainesville, FL Metro Area","","",""
"    Gainesville, FL Metro Area","151,720","137,030","14,690"
"Gainesville, GA Metro Area","","",""
"    Gainesville, GA Metro Area","76,865","71,022","5,843"
"Gainesville, TX Micro Area","","",""
"    Gainesville, TX Micro Area","17,716","15,738","1,978"
"Galesburg, IL Micro Area","","",""
"    Galesburg, IL Micro Area","23,817","20,851","2,966"
"Gallup, NM Micro Area","","",""
"    Gallup, NM Micro Area","25,057","22,659","2,398"
"Garden City, KS Micro Area","","",""
"    Garden City, KS Micro Area","15,766","14,491","1,275"
"Gardnerville Ranchos, NV Micro Area","","",""
"    Gardnerville Ranchos, NV Micro Area","24,309","21,400","2,909"
"Georgetown, SC Micro Area","","",""
"    Georgetown, SC Micro Area","35,916","27,231","8,685"
"Gettysburg, PA Metro Area","","",""
"    Gettysburg, PA Metro Area","43,007","40,270","2,737"
"Gillette, WY Micro Area","","",""
"    Gillette, WY Micro Area","26,894","23,561","3,333"
"Glasgow, KY Micro Area","","",""
"    Glasgow, KY Micro Area","24,485","21,866","2,619"
"Glens Falls, NY Metro Area","","",""
"    Glens Falls, NY Metro Area","68,926","53,574","15,352"
"Glenwood Springs, CO Micro Area","","",""
"    Glenwood Springs, CO Micro Area","37,336","30,391","6,945"
"Gloversville, NY Micro Area","","",""
"    Gloversville, NY Micro Area","28,087","22,390","5,697"
"Goldsboro, NC Metro Area","","",""
"    Goldsboro, NC Metro Area","52,551","45,997","6,554"
"Granbury, TX Micro Area","","",""
"    Granbury, TX Micro Area","28,321","24,811","3,510"
"Grand Forks, ND-MN Metro Area","","",""
"    Grand Forks, ND-MN Metro Area","48,051","43,192","4,859"
"Grand Island, NE Metro Area","","",""
"    Grand Island, NE Metro Area","31,572","29,493","2,079"
"Grand Junction, CO Metro Area","","",""
"    Grand Junction, CO Metro Area","67,407","63,133","4,274"
"Grand Rapids, MN Micro Area","","",""
"    Grand Rapids, MN Micro Area","25,375","18,968","6,407"
"Grand Rapids-Kentwood, MI Metro Area","","",""
"    Grand Rapids-Kentwood, MI Metro Area","431,852","406,158","25,694"
"Grants, NM Micro Area","","",""
"    Grants, NM Micro Area","11,099","9,080","2,019"
"Grants Pass, OR Metro Area","","",""
"    Grants Pass, OR Metro Area","38,748","36,024","2,724"
"Great Bend, KS Micro Area","","",""
"    Great Bend, KS Micro Area","12,370","10,640","1,730"
"Great Falls, MT Metro Area","","",""
"    Great Falls, MT Metro Area","38,937","35,011","3,926"
"Greeley, CO Metro Area","","",""
"    Greeley, CO Metro Area","119,962","113,995","5,967"
"Green Bay, WI Metro Area","","",""
"    Green Bay, WI Metro Area","145,929","133,007","12,922"
"Greeneville, TN Micro Area","","",""
"    Greeneville, TN Micro Area","32,154","28,738","3,416"
"Greensboro-High Point, NC Metro Area","","",""
"    Greensboro-High Point, NC Metro Area","337,732","312,232","25,500"
"Greensburg, IN Micro Area","","",""
"    Greensburg, IN Micro Area","11,512","10,472","1,040"
"Greenville, MS Micro Area","","",""
"    Greenville, MS Micro Area","20,879","17,954","2,925"
"Greenville, NC Metro Area","","",""
"    Greenville, NC Metro Area","80,515","70,016","10,499"
"Greenville, OH Micro Area","","",""
"    Greenville, OH Micro Area","22,599","20,925","1,674"
"Greenville-Anderson, SC Metro Area","","",""
"    Greenville-Anderson, SC Metro Area","402,999","366,509","36,490"
"Greenwood, MS Micro Area","","",""
"    Greenwood, MS Micro Area","17,546","15,098","2,448"
"Greenwood, SC Micro Area","","",""
"    Greenwood, SC Micro Area","31,323","28,123","3,200"
"Grenada, MS Micro Area","","",""
"    Grenada, MS Micro Area","10,405","9,030","1,375"
"Guayama, PR Metro Area","","",""
"    Guayama, PR Metro Area","35,158","28,396","6,762"
"Gulfport-Biloxi, MS Metro Area","","",""
"    Gulfport-Biloxi, MS Metro Area","183,583","162,916","20,667"
"Guymon, OK Micro Area","","",""
"    Guymon, OK Micro Area","8,443","7,376","1,067"
"Hagerstown-Martinsburg, MD-WV Metro Area","","",""
"    Hagerstown-Martinsburg, MD-WV Metro Area","123,729","112,998","10,731"
"Hailey, ID Micro Area","","",""
"    Hailey, ID Micro Area","16,127","10,711","5,416"
"Hammond, LA Metro Area","","",""
"    Hammond, LA Metro Area","56,685","50,961","5,724"
"Hanford-Corcoran, CA Metro Area","","",""
"    Hanford-Corcoran, CA Metro Area","46,287","44,100","2,187"
"Hannibal, MO Micro Area","","",""
"    Hannibal, MO Micro Area","17,875","15,616","2,259"
"Harrisburg-Carlisle, PA Metro Area","","",""
"    Harrisburg-Carlisle, PA Metro Area","255,481","238,249","17,232"
"Harrison, AR Micro Area","","",""
"    Harrison, AR Micro Area","21,454","18,624","2,830"
"Harrisonburg, VA Metro Area","","",""
"    Harrisonburg, VA Metro Area","54,062","49,426","4,636"
"Hartford-East Hartford-Middletown, CT Metro Area","","",""
"    Hartford-East Hartford-Middletown, CT Metro Area","522,472","487,600","34,872"
"Hastings, NE Micro Area","","",""
"    Hastings, NE Micro Area","13,806","12,690","1,116"
"Hattiesburg, MS Metro Area","","",""
"    Hattiesburg, MS Metro Area","74,640","66,945","7,695"
"Hays, KS Micro Area","","",""
"    Hays, KS Micro Area","13,166","11,853","1,313"
"Heber, UT Micro Area","","",""
"    Heber, UT Micro Area","40,136","26,728","13,408"
"Helena, MT Micro Area","","",""
"    Helena, MT Micro Area","38,974","35,098","3,876"
"Helena-West Helena, AR Micro Area","","",""
"    Helena-West Helena, AR Micro Area","8,315","6,890","1,425"
"Henderson, NC Micro Area","","",""
"    Henderson, NC Micro Area","19,276","17,038","2,238"
"Hereford, TX Micro Area","","",""
"    Hereford, TX Micro Area","6,974","6,263","711"
"Hermiston-Pendleton, OR Micro Area","","",""
"    Hermiston-Pendleton, OR Micro Area","35,815","32,586","3,229"
"Hickory-Lenoir-Morganton, NC Metro Area","","",""
"    Hickory-Lenoir-Morganton, NC Metro Area","163,160","147,185","15,975"
"Hillsdale, MI Micro Area","","",""
"    Hillsdale, MI Micro Area","21,396","18,062","3,334"
"Hilo, HI Micro Area","","",""
"    Hilo, HI Micro Area","88,691","73,021","15,670"
"Hilton Head Island-Bluffton, SC Metro Area","","",""
"    Hilton Head Island-Bluffton, SC Metro Area","110,930","87,645","23,285"
"Hinesville, GA Metro Area","","",""
"    Hinesville, GA Metro Area","32,744","28,905","3,839"
"Hobbs, NM Micro Area","","",""
"    Hobbs, NM Micro Area","27,950","25,049","2,901"
"Holland, MI Micro Area","","",""
"    Holland, MI Micro Area","51,789","45,545","6,244"
"Homosassa Springs, FL Metro Area","","",""
"    Homosassa Springs, FL Metro Area","81,687","69,438","12,249"
"Hood River, OR Micro Area","","",""
"    Hood River, OR Micro Area","10,126","8,965","1,161"
"Hope, AR Micro Area","","",""
"    Hope, AR Micro Area","13,899","11,419","2,480"
"Hot Springs, AR Metro Area","","",""
"    Hot Springs, AR Metro Area","52,326","42,997","9,329"
"Houghton, MI Micro Area","","",""
"    Houghton, MI Micro Area","20,902","15,299","5,603"
"Houma-Thibodaux, LA Metro Area","","",""
"    Houma-Thibodaux, LA Metro Area","88,254","78,523","9,731"
"Houston-The Woodlands-Sugar Land, TX Metro Area","","",""
"    Houston-The Woodlands-Sugar Land, TX Metro Area","2,740,182","2,509,945","230,237"
"Hudson, NY Micro Area","","",""
"    Hudson, NY Micro Area","33,226","26,590","6,636"
"Huntingdon, PA Micro Area","","",""
"    Huntingdon, PA Micro Area","20,807","16,804","4,003"
"Huntington, IN Micro Area","","",""
"    Huntington, IN Micro Area","16,217","14,765","1,452"
"Huntington-Ashland, WV-KY-OH Metro Area","","",""
"    Huntington-Ashland, WV-KY-OH Metro Area","165,754","147,207","18,547"
"Huntsville, AL Metro Area","","",""
"    Huntsville, AL Metro Area","212,512","197,135","15,377"
"Huntsville, TX Micro Area","","",""
"    Huntsville, TX Micro Area","28,632","24,568","4,064"
"Huron, SD Micro Area","","",""
"    Huron, SD Micro Area","9,348","8,116","1,232"
"Hutchinson, KS Micro Area","","",""
"    Hutchinson, KS Micro Area","28,289","25,189","3,100"
"Hutchinson, MN Micro Area","","",""
"    Hutchinson, MN Micro Area","15,820","15,004","816"
"Idaho Falls, ID Metro Area","","",""
"    Idaho Falls, ID Metro Area","56,637","53,326","3,311"
"Indiana, PA Micro Area","","",""
"    Indiana, PA Micro Area","37,626","33,286","4,340"
"Indianapolis-Carmel-Anderson, IN Metro Area","","",""
"    Indianapolis-Carmel-Anderson, IN Metro Area","893,492","826,470","67,022"
"Indianola, MS Micro Area","","",""
"    Indianola, MS Micro Area","9,412","8,474","938"
"Iowa City, IA Metro Area","","",""
"    Iowa City, IA Metro Area","75,489","70,251","5,238"
"Iron Mountain, MI-WI Micro Area","","",""
"    Iron Mountain, MI-WI Micro Area","18,518","13,721","4,797"
"Ithaca, NY Metro Area","","",""
"    Ithaca, NY Metro Area","46,884","42,273","4,611"
"Jackson, MI Metro Area","","",""
"    Jackson, MI Metro Area","69,025","62,567","6,458"
"Jackson, MS Metro Area","","",""
"    Jackson, MS Metro Area","257,634","230,831","26,803"
"Jackson, OH Micro Area","","",""
"    Jackson, OH Micro Area","14,399","12,936","1,463"
"Jackson, TN Metro Area","","",""
"    Jackson, TN Metro Area","79,252","71,713","7,539"
"Jackson, WY-ID Micro Area","","",""
"    Jackson, WY-ID Micro Area","19,048","13,969","5,079"
"Jacksonville, FL Metro Area","","",""
"    Jacksonville, FL Metro Area","690,609","628,344","62,265"
"Jacksonville, IL Micro Area","","",""
"    Jacksonville, IL Micro Area","17,419","15,613","1,806"
"Jacksonville, NC Metro Area","","",""
"    Jacksonville, NC Metro Area","84,180","69,576","14,604"
"Jacksonville, TX Micro Area","","",""
"    Jacksonville, TX Micro Area","20,838","17,992","2,846"
"Jamestown, ND Micro Area","","",""
"    Jamestown, ND Micro Area","10,374","9,084","1,290"
"Jamestown-Dunkirk-Fredonia, NY Micro Area","","",""
"    Jamestown-Dunkirk-Fredonia, NY Micro Area","66,247","53,223","13,024"
"Janesville-Beloit, WI Metro Area","","",""
"    Janesville-Beloit, WI Metro Area","70,068","65,937","4,131"
"Jasper, AL Micro Area","","",""
"    Jasper, AL Micro Area","29,975","26,423","3,552"
"Jasper, IN Micro Area","","",""
"    Jasper, IN Micro Area","24,199","22,384","1,815"
"Jayuya, PR Micro Area","","",""
"    Jayuya, PR Micro Area","6,340","5,590","750"
"Jefferson, GA Micro Area","","",""
"    Jefferson, GA Micro Area","27,699","26,174","1,525"
"Jefferson City, MO Metro Area","","",""
"    Jefferson City, MO Metro Area","64,421","58,013","6,408"
"Jennings, LA Micro Area","","",""
"    Jennings, LA Micro Area","13,936","12,197","1,739"
"Jesup, GA Micro Area","","",""
"    Jesup, GA Micro Area","12,460","11,141","1,319"
"Johnson City, TN Metro Area","","",""
"    Johnson City, TN Metro Area","97,027","87,383","9,644"
"Johnstown, PA Metro Area","","",""
"    Johnstown, PA Metro Area","64,395","56,370","8,025"
"Jonesboro, AR Metro Area","","",""
"    Jonesboro, AR Metro Area","57,066","52,475","4,591"
"Joplin, MO Metro Area","","",""
"    Joplin, MO Metro Area","77,309","70,518","6,791"
"Juneau, AK Micro Area","","",""
"    Juneau, AK Micro Area","14,093","12,940","1,153"
"Kahului-Wailuku-Lahaina, HI Metro Area","","",""
"    Kahului-Wailuku-Lahaina, HI Metro Area","71,439","56,063","15,376"
"Kalamazoo-Portage, MI Metro Area","","",""
"    Kalamazoo-Portage, MI Metro Area","114,021","106,906","7,115"
"Kalispell, MT Micro Area","","",""
"    Kalispell, MT Micro Area","49,875","42,481","7,394"
"Kankakee, IL Metro Area","","",""
"    Kankakee, IL Metro Area","45,270","41,528","3,742"
"Kansas City, MO-KS Metro Area","","",""
"    Kansas City, MO-KS Metro Area","938,503","868,375","70,128"
"Kapaa, HI Micro Area","","",""
"    Kapaa, HI Micro Area","30,157","24,712","5,445"
"Kearney, NE Micro Area","","",""
"    Kearney, NE Micro Area","23,913","22,317","1,596"
"Keene, NH Micro Area","","",""
"    Keene, NH Micro Area","35,612","31,372","4,240"
"Kendallville, IN Micro Area","","",""
"    Kendallville, IN Micro Area","20,049","17,981","2,068"
"Kennett, MO Micro Area","","",""
"    Kennett, MO Micro Area","13,409","11,573","1,836"
"Kennewick-Richland, WA Metro Area","","",""
"    Kennewick-Richland, WA Metro Area","109,816","105,117","4,699"
"Kerrville, TX Micro Area","","",""
"    Kerrville, TX Micro Area","25,200","22,060","3,140"
"Ketchikan, AK Micro Area","","",""
"    Ketchikan, AK Micro Area","6,614","5,479","1,135"
"Key West, FL Micro Area","","",""
"    Key West, FL Micro Area","53,961","36,436","17,525"
"Kill Devil Hills, NC Micro Area","","",""
"    Kill Devil Hills, NC Micro Area","34,237","15,966","18,271"
"Killeen-Temple, TX Metro Area","","",""
"    Killeen-Temple, TX Metro Area","186,020","169,916","16,104"
"Kingsport-Bristol, TN-VA Metro Area","","",""
"    Kingsport-Bristol, TN-VA Metro Area","148,388","131,113","17,275"
"Kingston, NY Metro Area","","",""
"    Kingston, NY Metro Area","85,853","73,321","12,532"
"Kingsville, TX Micro Area","","",""
"    Kingsville, TX Micro Area","14,144","11,661","2,483"
"Kinston, NC Micro Area","","",""
"    Kinston, NC Micro Area","26,577","22,930","3,647"
"Kirksville, MO Micro Area","","",""
"    Kirksville, MO Micro Area","13,225","11,489","1,736"
"Klamath Falls, OR Micro Area","","",""
"    Klamath Falls, OR Micro Area","32,730","28,634","4,096"
"Knoxville, TN Metro Area","","",""
"    Knoxville, TN Metro Area","393,836","358,473","35,363"
"Kokomo, IN Metro Area","","",""
"    Kokomo, IN Metro Area","39,605","35,711","3,894"
"Laconia, NH Micro Area","","",""
"    Laconia, NH Micro Area","38,252","27,027","11,225"
"La Crosse-Onalaska, WI-MN Metro Area","","",""
"    La Crosse-Onalaska, WI-MN Metro Area","61,505","58,101","3,404"
"Lafayette, LA Metro Area","","",""
"    Lafayette, LA Metro Area","212,942","188,906","24,036"
"Lafayette-West Lafayette, IN Metro Area","","",""
"    Lafayette-West Lafayette, IN Metro Area","94,722","86,517","8,205"
"La Grande, OR Micro Area","","",""
"    La Grande, OR Micro Area","11,649","10,779","870"
"LaGrange, GA-AL Micro Area","","",""
"    LaGrange, GA-AL Micro Area","45,094","40,555","4,539"
"Lake Charles, LA Metro Area","","",""
"    Lake Charles, LA Metro Area","97,407","85,986","11,421"
"Lake City, FL Micro Area","","",""
"    Lake City, FL Micro Area","29,775","26,424","3,351"
"Lake Havasu City-Kingman, AZ Metro Area","","",""
"    Lake Havasu City-Kingman, AZ Metro Area","117,650","91,270","26,380"
"Lakeland-Winter Haven, FL Metro Area","","",""
"    Lakeland-Winter Haven, FL Metro Area","316,381","272,418","43,963"
"Lamesa, TX Micro Area","","",""
"    Lamesa, TX Micro Area","4,859","4,079","780"
"Lancaster, PA Metro Area","","",""
"    Lancaster, PA Metro Area","216,502","206,467","10,035"
"Lansing-East Lansing, MI Metro Area","","",""
"    Lansing-East Lansing, MI Metro Area","235,800","219,517","16,283"
"Laramie, WY Micro Area","","",""
"    Laramie, WY Micro Area","18,494","15,993","2,501"
"Laredo, TX Metro Area","","",""
"    Laredo, TX Metro Area","84,763","78,282","6,481"
"Las Cruces, NM Metro Area","","",""
"    Las Cruces, NM Metro Area","89,804","82,366","7,438"
"Las Vegas, NM Micro Area","","",""
